ids,users,label_count,labels,claim_id,claim,deleted,created
3,5,1,SUPPORTS,2,Ben Sheets první zápas v MLB prohrál.,"0",1604492158
7,7,1,SUPPORTS,3,Baseballový tým USA porazil na olympijských hrách v Sydney hráče Kuby.,"0",1604589242
5,6,1,SUPPORTS,4,USA na olympijských hrách v Sydney získalo v baseballu zlatou medaili.,"0",1604514332
18,2,1,,6,Věra Breiová je mluvčí společnosti ArcelorMittal Ostrava.,"0",1604650278
"435,865","58,68",2,"SUPPORTS,SUPPORTS",7,ArcelorMittal Ostrava finančně podpoří odvykání kouření u svých zaměstnanců.,"0","1606986004,1607350748"
2,5,1,SUPPORTS,8,Německá firma Bühler Motor investovala v Hradci Králové asi půl miliardy.,"0",1604492144
4,5,1,SUPPORTS,9,Německá firma Bühler Motor má v Hradci Králové výrobní haly.,"0",1604492193
8,7,1,SUPPORTS,11,Německá firma Bühler Motor vyrábí elektropohony.,"0",1604589288
10,2,1,SUPPORTS,22,Společnost Bühler Motor investovala v Hradci Králové 90 miliónů korun.,"0",1604605874
21,7,1,SUPPORTS,23,Christof Furtwängler je jednatelem firmy Bühler Motor.,"0",1605880327
"15,260,957","2,71,18",3,"SUPPORTS,SUPPORTS,SUPPORTS",24,Společnost Bühler Motor Hradec Králové vlastní výrobní halu za 90 miliónů korun.,"0","1604606017,1606670671,1607368678"
"55,636,948","74,37,18",3,"SUPPORTS,SUPPORTS,SUPPORTS",25,Společnost Bühler Motor otevřela výrobní halu.,"0","1606305783,1607160257,1607368121"
1306,32,1,SUPPORTS,26,Společnost Bühler Motor vynaložila 90 miliónů korun v Hradci Králové.,"0",1607420174
"37,243","74,67",2,"SUPPORTS,SUPPORTS",27,Společnost Bühler Motor otevřela výrobní halu za 90 miliónů korun v Hradci Králové.,"0","1606298330,1606664247"
"57,94,105,200","74,63,44,46",4,"SUPPORTS,SUPPORTS,NOT ENOUGH INFO,SUPPORTS",28,Společnost Bühler Motor Hradec Králové investovala v České republice.,"0","1606306051,1606386713,1606387489,1606643195"
"52,190,362,570","74,39,64,65",4,"SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS",29,Jednatel firmy Bühler Motor se jmenuje Christof Furtwängler.,"0","1606305573,1606585310,1606932806,1607025089"
"13,89,158","2,63,59",3,"SUPPORTS,SUPPORTS",30,Němec Christof Furtwängler je jednatelem firmy Bühler Motor.,"0","1604605988,1606386309,1606412720"
"45,98","74,63",2,"SUPPORTS,SUPPORTS",31,Christof Furtwängler je jednatelem firmy.,"0","1606305305,1606386919"
"40,1451","74,45",2,"REFUTES,REFUTES",32,Christof Furtwängler nepracuje pro firmu Bühler Motor.,"0","1606298748,1607445850"
390,22,1,SUPPORTS,35,V Třebíči bývají problémy s velkou vodou.,"0",1606936039
"17,165,563","2,59,65",3,"NOT ENOUGH INFO,NOT ENOUGH INFO",37,Třebíč bojuje s Opavou.,"0","1604606038,1606413088,1607024040"
"469,1667","49,7",2,"REFUTES,SUPPORTS",38,Povodí Moravy bojuje s velkou vodou.,"0","1607008455,1615193251"
"24,103,194,598,1168","1,44,39,21,57",5,"SUPPORTS,NOT ENOUGH INFO,REFUTES,SUPPORTS,REFUTES",39,Záplavy v Třebíči jsou vyloučeny.,"0","1605890648,1606387366,1606585636,1607078342,1607386821"
14,2,1,SUPPORTS,40,Česká republika má přes 160 vodnich nádrží.,"0",1604606002
11,2,1,SUPPORTS,43,Objem vodních nádrží v ČR je 3360 milionů metrů krychlových.,"0",1604605901
6256,110,1,SUPPORTS,44,Počet vodních nádrží v ČR je přes 160.,"0",1617800708
6398,110,1,SUPPORTS,45,Průměrný počet vodních nádrží na kraj České republiky je přes 10.,"0",1617829859
16,2,1,REFUTES,46,V České republice je méně než 160 nádrží.,"0",1604606023
197,39,1,SUPPORTS,47,Objem všech rybníků je menší než objem všech vodních nádrží v ČR.,"0",1606586009
368,64,1,SUPPORTS,48,Umělé vodní nádrže mají větší objem než rybníky na území ČR.,"0",1606933478
"12,53","2,74",2,"REFUTES,REFUTES",50,Rybníky v ČR udržují více vody než vodní nádrže.,"0","1604605945,1606305703"
"143,807,846","59,28,62",3,"SUPPORTS,SUPPORTS,SUPPORTS",58,V Polsku byl The Devil zakázán.,"0","1606400180,1607291927,1607347193"
"27,71","74,7",2,,59,V Polsku byl Titanic zkázán.,"0","1606244339,1606311811"
"1008,1264,1491","42,52,70",3,"NOT ENOUGH INFO,SUPPORTS,SUPPORTS",60,V Polsku zakázali potraty.,"0","1607373064,1607417440,1607448214"
"96,282,804,1107,1319","63,50,28,61,29",5,"SUPPORTS,NOT ENOUGH INFO,REFUTES,REFUTES,REFUTES",61,V Polsku se promítal film The Devil.,"0","1606386883,1606861264,1607291113,1607380434,1607420952"
49,74,1,SUPPORTS,62,Ve věku 75 let zemřel Andrzej Žulawski.,"0",1606305490
"59,912","74,72",2,"REFUTES,REFUTES",63,Andrzej Žulawski zemřel ve věku 53 let.,"0","1606306168,1607357457"
48,74,1,SUPPORTS,64,Andrzej Žulawski zemřel v Polsku ve věku 75 let.,"0",1606305478
257,71,1,SUPPORTS,65,Andrzej Žulawski zemřel.,"0",1606670397
1320,29,1,REFUTES,66,Andrzej Žulawski oslavil 80 let.,"0",1607420971
"392,1519","22,48",2,"REFUTES,REFUTES",67,Žulawski je slovenský režisér.,"0","1606936194,1607449273"
"29,254","74,71",2,,68,Žulawski je polský umělec.,"0","1606244384,1606670025"
"64,239","74,67",2,"REFUTES,REFUTES",69,Andrzej Žulawski se narodil v Rakousku.,"0","1606306560,1606663844"
28,74,1,SUPPORTS,70,Andrzej Žulawski zemřel na rakovinu.,"0",1606244375
"163,231,1325","59,67,36",3,"REFUTES,REFUTES,REFUTES",71,Andrzej Zulawski utrpěl infarkt.,"0","1606412979,1606662722,1607421090"
531,56,1,REFUTES,72,Obama zemřel na rakovinu.,"0",1607016132
5615,137,1,NOT ENOUGH INFO,73,Andrzej Zulawski zemřel na rakovinu mozku.,"0",1616962106
153,59,1,SUPPORTS,74,Andrzej Žulawski zemřel.,"0",1606412107
23,1,1,,77,V Praze se v druhé polovině roku 2008 konalo více než 6700 oznámených demonstrací.,"0",1605886875
"66,155","74,59",2,"NOT ENOUGH INFO,SUPPORTS",79,Ve druhé polovině roku 2008 se v Praze uskutečnilo téměř 7 000 demonstrací.,"0","1606306626,1606412277"
261,71,1,REFUTES,80,V Praze se v druhé polovině roku 2018 konalo více než 6700 oznámených demonstrací.,"0",1606670720
"452,1193","38,33",2,"REFUTES,NOT ENOUGH INFO",82,Za rok 2008 bylo v Praze asi 8.000 protestních shromáždění.,"0","1607000992,1607395419"
160,59,1,REFUTES,83,V roce 2008 proběhlo v Praze necelých 8 000 protestních shromáždění.,"0",1606412852
"716,1326","9,29",2,"SUPPORTS,SUPPORTS",87,Jaroslav Kaczyński a Lech Kaczyński jsou dvojčata.,"0","1607203622,1607421133"
929,37,1,SUPPORTS,88,Jaroslav Kaczyński má bratra - Lecha Kaczyńského.,"0",1607366682
"286,4157","50,162",2,"NOT ENOUGH INFO,REFUTES",89,Jaroslav Kaczyński je starší než Lech Kaczyński.,"0","1606861524,1616601401"
"208,232,717","46,67,9",3,"SUPPORTS,SUPPORTS,SUPPORTS",90,Jaroslav Kaczyński podporuje americké protiraketové základny v Polsku.,"0","1606644270,1606662764,1607203774"
1506,48,1,SUPPORTS,91,Jaroslav Kaczyński je za umístění americké základny v Polsku.,"0",1607448584
365,64,1,NOT ENOUGH INFO,92,Jaroslav Kaczyński je pro přijetí eura.,"0",1606933247
"54,113,114,169","74,44,44,59",4,"SUPPORTS,SUPPORTS,REFUTES,NOT ENOUGH INFO",93,Jaroslav Kaczyński je za umístění americké protiraketové základny v Gdansku.,"0","1606305736,1606388561,1606388638,1606413236"
"44,87,170,183,989","74,63,59,39,42",5,"REFUTES,REFUTES,REFUTES,REFUTES,REFUTES",94,Jaroslav Kaczyński neví o umístění americké protiraketové základny v Polsku.,"0","1606305287,1606386126,1606413254,1606584736,1607372642"
"117,697,1104","44,14,61",3,"SUPPORTS,SUPPORTS,SUPPORTS",107,Prezident Salvador Allende byl usmrcen při vojenském převratu organizovaném Augusto Pinochetem.,"0","1606388710,1607201679,1607379969"
"63,240","74,67",2,"REFUTES,REFUTES",108,Prezident Salvador Allende zemřel na rakovinu.,"0","1606306507,1606663878"
"60,95,244,457,1537","74,63,67,38,20",5,"SUPPORTS,SUPPORTS,NOT ENOUGH INFO,REFUTES,SUPPORTS",109,"Augusto Pinochet uskutečnil vojenský převrat, při kterém byl zabit prezident.","0","1606306311,1606386747,1606664328,1607001180,1607450864"
"118,172,315","44,59,41",3,"REFUTES,REFUTES,SUPPORTS",110,"Augusto Pinochet uskutečnil vojenský převrat, při kterém byl jmenován prezidentem Salvador Allende.","0","1606388757,1606413639,1606909665"
806,28,1,REFUTES,111,"Augusto Pinochet uskutečnil vojenský převrat, při kterém nikdo nezemřel.","0",1607291911
"25,168,1054","7,59,52",3,"NOT ENOUGH INFO,SUPPORTS,SUPPORTS",114,Učená společnost existuje od roku 1994.,"0","1606141776,1606413205,1607375112"
267,53,1,REFUTES,115,Učená společnost existuje od roku 2004.,"0",1606770711
46,74,1,REFUTES,116,Členem Učené společnosti se může stát úplně každý.,"0",1606305387
"405,432,749,992","55,58,69,47",4,"REFUTES,REFUTES,REFUTES,REFUTES",117,Učená společnost existuje od roku 1900.,"0","1606947660,1606985788,1607247240,1607372778"
863,68,1,REFUTES,118,Mladí akademici a studenti mají také šanci být oceněni Učenou společností.,"0",1607350603
