id,user,claim,label,sandbox,oracle,flag,condition,created_at,updated_at,deleted,note,claim_text,claim_deleted
435,58,7,SUPPORTS,"0","0","0",,1606986004,1606986004,"0",,ArcelorMittal Ostrava finančně podpoří odvykání kouření u svých zaměstnanců.,"0"
865,68,7,SUPPORTS,"0","0","0",,1607350748,1607350748,"0",,ArcelorMittal Ostrava finančně podpoří odvykání kouření u svých zaměstnanců.,"0"
15,2,24,SUPPORTS,"0","0","0",,1604606017,1604606017,"0",,Společnost Bühler Motor Hradec Králové vlastní výrobní halu za 90 miliónů korun.,"0"
260,71,24,SUPPORTS,"0","0","0",,1606670671,1606670671,"0",,Společnost Bühler Motor Hradec Králové vlastní výrobní halu za 90 miliónů korun.,"0"
957,18,24,SUPPORTS,"0","0","0",,1607368678,1607368678,"0",,Společnost Bühler Motor Hradec Králové vlastní výrobní halu za 90 miliónů korun.,"0"
55,74,25,SUPPORTS,"0","0","0",,1606305783,1606305783,"0",,Společnost Bühler Motor otevřela výrobní halu.,"0"
636,37,25,SUPPORTS,"0","0","0",,1607160257,1607160257,"0",,Společnost Bühler Motor otevřela výrobní halu.,"0"
948,18,25,SUPPORTS,"0","0","0",,1607368121,1607368121,"0",,Společnost Bühler Motor otevřela výrobní halu.,"0"
37,74,27,SUPPORTS,"0","0","0",,1606298330,1606298330,"0",,Společnost Bühler Motor otevřela výrobní halu za 90 miliónů korun v Hradci Králové.,"0"
243,67,27,SUPPORTS,"0","0","0",,1606664247,1606664247,"0",,Společnost Bühler Motor otevřela výrobní halu za 90 miliónů korun v Hradci Králové.,"0"
57,74,28,SUPPORTS,"0","0","0",,1606306051,1606306051,"0",,Společnost Bühler Motor Hradec Králové investovala v České republice.,"0"
94,63,28,SUPPORTS,"0","0","0",,1606386713,1606386713,"0",,Společnost Bühler Motor Hradec Králové investovala v České republice.,"0"
105,44,28,NOT ENOUGH INFO,"0","0","0",,1606387489,1613114550,1,,Společnost Bühler Motor Hradec Králové investovala v České republice.,"0"
200,46,28,SUPPORTS,"0","0","0",,1606643195,1606643195,"0",,Společnost Bühler Motor Hradec Králové investovala v České republice.,"0"
52,74,29,SUPPORTS,"0","0","0",,1606305573,1606305573,"0",,Jednatel firmy Bühler Motor se jmenuje Christof Furtwängler.,"0"
190,39,29,SUPPORTS,"0","0","0",,1606585310,1606585310,"0",,Jednatel firmy Bühler Motor se jmenuje Christof Furtwängler.,"0"
362,64,29,SUPPORTS,"0","0","0",,1606932806,1606932806,"0",,Jednatel firmy Bühler Motor se jmenuje Christof Furtwängler.,"0"
570,65,29,SUPPORTS,"0","0","0",,1607025089,1607025089,"0",,Jednatel firmy Bühler Motor se jmenuje Christof Furtwängler.,"0"
13,2,30,SUPPORTS,"0","0","0",,1604605988,1604605988,"0",,Němec Christof Furtwängler je jednatelem firmy Bühler Motor.,"0"
89,63,30,SUPPORTS,"0","0","0","Firma Bühler Motor je německá, její jednatel má německé jméno, lze tedy soudit, že je Němec.",1606386309,1613113018,1,,Němec Christof Furtwängler je jednatelem firmy Bühler Motor.,"0"
45,74,31,SUPPORTS,"0","0","0",,1606305305,1606305305,"0",,Christof Furtwängler je jednatelem firmy.,"0"
98,63,31,SUPPORTS,"0","0","0",,1606386919,1606386919,"0",,Christof Furtwängler je jednatelem firmy.,"0"
40,74,32,REFUTES,"0","0","0",,1606298748,1606298748,"0",,Christof Furtwängler nepracuje pro firmu Bühler Motor.,"0"
1451,45,32,REFUTES,"0","0","0",,1607445850,1607445850,"0",,Christof Furtwängler nepracuje pro firmu Bühler Motor.,"0"
165,59,37,NOT ENOUGH INFO,"0","0","0",,1606413088,1606413088,"0",,Třebíč bojuje s Opavou.,"0"
563,65,37,NOT ENOUGH INFO,"0","0","0",,1607024040,1607024040,"0",,Třebíč bojuje s Opavou.,"0"
469,49,38,REFUTES,"0","0","0",,1607008455,1617264327,1,,Povodí Moravy bojuje s velkou vodou.,"0"
1667,7,38,SUPPORTS,"0",1,"0",,1615193251,1615193251,"0",,Povodí Moravy bojuje s velkou vodou.,"0"
24,1,39,SUPPORTS,"0","0","0",,1605890648,1613114521,1,,Záplavy v Třebíči jsou vyloučeny.,"0"
103,44,39,NOT ENOUGH INFO,"0","0","0",,1606387366,1629711299,1,,Záplavy v Třebíči jsou vyloučeny.,"0"
194,39,39,REFUTES,"0","0","0",,1606585636,1613114521,1,,Záplavy v Třebíči jsou vyloučeny.,"0"
598,21,39,SUPPORTS,"0","0","0",Protipovodňová opatření a dobré fungování složek záchranného systému uchránila Třebíč před letošními záplavami.,1607078342,1633962228,1,[COND][0] Podmíněná anotace je redudantní nebo konfliktní,Záplavy v Třebíči jsou vyloučeny.,"0"
1168,57,39,REFUTES,"0","0","0",,1607386821,1613114521,1,,Záplavy v Třebíči jsou vyloučeny.,"0"
12,2,50,REFUTES,"0","0","0",,1604605945,1604605945,"0",,Rybníky v ČR udržují více vody než vodní nádrže.,"0"
53,74,50,REFUTES,"0","0","0",,1606305703,1632569410,1,,Rybníky v ČR udržují více vody než vodní nádrže.,"0"
143,59,58,SUPPORTS,"0","0","0",,1606400180,1606400180,"0",,V Polsku byl The Devil zakázán.,"0"
807,28,58,SUPPORTS,"0","0","0",,1607291927,1607291927,"0",,V Polsku byl The Devil zakázán.,"0"
846,62,58,SUPPORTS,"0","0","0",,1607347193,1607347193,"0",,V Polsku byl The Devil zakázán.,"0"
1008,42,60,NOT ENOUGH INFO,"0","0","0",,1607373064,1613599676,1,,V Polsku zakázali potraty.,"0"
1264,52,60,SUPPORTS,"0","0","0",,1607417440,1607417440,"0",,V Polsku zakázali potraty.,"0"
1491,70,60,SUPPORTS,"0","0","0",,1607448214,1607448214,"0",,V Polsku zakázali potraty.,"0"
96,63,61,SUPPORTS,"0","0","0",The Devil se v polsku vysílal po převratu.,1606386883,1613600015,1,,V Polsku se promítal film The Devil.,"0"
282,50,61,NOT ENOUGH INFO,"0","0","0",,1606861264,1613600015,1,,V Polsku se promítal film The Devil.,"0"
804,28,61,REFUTES,"0","0","0",,1607291113,1630573612,1,,V Polsku se promítal film The Devil.,"0"
1107,61,61,REFUTES,"0","0","0",,1607380434,1630573612,1,,V Polsku se promítal film The Devil.,"0"
